posts,region,province
"Annoyed by colds, headaches.",CAR,Mountain Province
"Dealing with this rashes, diarrhea.",III,Zambales
"Ugh, no taste.",VII,Negros Oriental
Can't get rid of no taste.,IVA,Rizal
"Sick of cough, colds.",III,Bataan
"Why do I have cough, headaches.",NCR,Metro Manila
Can't stand this rashes.,VII,Negros Oriental
"Spent the day with diarrhea, fever.",VII,Negros Oriental
"Ugh, colds.",IVA,Quezon
"Ugh, no taste, headaches.",XIII,Agusan del Sur
"Ugh, colds.",XII,Cotabato
Can't stand this cough.,BARMM,Tawi-tawi
Why do I have cough.,BARMM,Sulu
"Help, I've got no taste, rashes.",IVB,Marinduque
"Hate this no taste, cough.",I,La Union
Struggling with colds.,VI,Guimaras
"Totally frustrated by colds, no taste.",X,Misamis Oriental
"Help, I've got no taste.",VII,Siquijor
"Dealing with cough, colds.",XIII,Surigao del Norte
"Help, I've got headaches, fever.",IX,Zamboanga Sibugay
Battling rashes.,VII,Siquijor
Tired of diarrhea.,XI,Davao del Norte
"Battling no taste, fever.",IX,Zamboanga Sibugay
"Spent the day with colds, no taste.",VI,Iloilo
Struggling with rashes.,IX,Zamboanga Sibugay
Hate this headaches.,III,Nueva Ecija
Totally frustrated by colds.,XIII,Surigao del Sur
Totally frustrated by colds.,IVB,Occidental Mindoro
Sick of diarrhea.,XI,Davao Oriental
"Help, I've got diarrhea, fever.",II,Isabela
"Endless colds, no taste.",IX,Zamboanga Sibugay
Feeling so down because of cough.,IVB,Romblon
"Totally frustrated by no taste, cough.",II,Batanes
"Battling colds, cough.",VII,Negros Oriental
"Help, I've got headaches.",X,Lanao del Norte
"Endless headaches, rashes.",VI,Iloilo
Why won't this colds.,VIII,Leyte
Dealing with this rashes.,VIII,Northern Samar
Woke up to no taste.,IVA,Laguna
"Why do I have no taste, rashes.",I,Pangasinan
"Dealing with diarrhea, rashes.",VIII,Eastern Samar
"Ugh, fever.",IX,Zamboanga del Sur
Sick of headaches.,VIII,Leyte
"Spent the day with cough, no taste.",XII,Cotabato
"Dealing with diarrhea, headaches.",IVA,Rizal
"Ugh, diarrhea.",IVB,Occidental Mindoro
"Dealing with this headaches, diarrhea.",V,Catanduanes
"Why do I have cough, colds.",IVB,Occidental Mindoro
Endless fever.,V,Sorsogon
"Just my luck, I've got colds, headaches.",XII,Sarangani
Dealing with this cough.,II,Quirino
"Can't get rid of diarrhea, rashes.",CAR,Benguet
Battling fever.,V,Masbate
"Sick of fever, diarrhea.",CAR,Mountain Province
"Ugh, rashes.",VI,Capiz
"Ugh, diarrhea, headaches.",I,La Union
Sick of colds.,BARMM,Lanao del Sur
Endless fever.,BARMM,Lanao del Sur
"Sick of no taste, rashes.",VI,Guimaras
"Feeling so down because of headaches, cough.",BARMM,Lanao del Sur
"Dealing with this cough, no taste.",BARMM,Basilan
Can't get rid of cough.,VIII,Eastern Samar
Spent the day with fever.,BARMM,Lanao del Sur
"Annoyed by colds, rashes.",XIII,Agusan del Norte
"Dealing with headaches, diarrhea.",III,Pampanga
"Strolling through Central Park in New York, the weather is perfect.",XIII,Dinagat Islands
"Had lunch at a famous restaurant in Manhattan, the food was amazing.",VIII,Eastern Samar
"Shopping at Times Square, so many stores to choose from.",XII,Sarangani
"Watching a Broadway show tonight, really excited!",III,Tarlac
Enjoying the view from the Empire State Building.,IVA,Batangas
Visiting the Statue of Liberty for the first time.,IVB,Romblon
Attending a concert at Madison Square Garden.,IVB,Romblon
"Taking a walk on the Brooklyn Bridge, the skyline is beautiful.",II,Cagayan
Exploring the museums along Museum Mile.,XI,Davao del Norte
Had a great time at Disneyland in California.,NCR,Metro Manila
"Driving down the Pacific Coast Highway, the ocean view is stunning.",III,Nueva Ecija
Visiting the Golden Gate Bridge in San Francisco.,XII,Sultan Kudarat
Enjoying the beaches in Santa Monica.,IVA,Batangas
Had a relaxing day at Griffith Park in Los Angeles.,VI,Antique
Exploring the wineries in Napa Valley.,XIII,Surigao del Sur
Namamasyal ako sa mall,VI,Capiz
I have a fever,VIII,Eastern Samar
Nagduwa ko ug basketball,NCR,Metro Manila
Lisod paginhawa,XII,Sultan Kudarat
Nagtrabo ko sa opisina,II,Cagayan
May ubo ako,III,Bulacan
Sakit akong lawas,VI,Iloilo
I have a cough,BARMM,Basilan
Lisod paginhawa,VII,Cebu
Hilantan ko,IVA,Cavite
Hilantan ko,V,Camarines Sur
Nagluluto ako ng ulam,VIII,Southern Leyte
Naglakaw-lakaw ko sa park,IVA,Cavite
Nagubo ko,XIII,Dinagat Islands
May ubo ako,BARMM,Lanao del Sur
May anemia ako,BARMM,Basilan
Nilalagnat ako,II,Batanes
I have a fever,BARMM,Maguindanao del Sur
Nanghihina ako,BARMM,Sulu
Masakit ang katawan ko,V,Catanduanes
I have a fever,IVB,Marinduque
May anemia ako,VIII,Eastern Samar
I'm hanging out at the mall,VII,Cebu
Naa koy hilanat,BARMM,Maguindanao del Norte
Masakit ang katawan ko,XI,Davao Occidental
Nagkapulmonya ko,VIII,Northern Samar
Sakit akong lawas,XIII,Agusan del Sur
Sakit akong lawas,BARMM,Tawi-tawi
Nagtatrabaho ako sa opisina,NCR,Metro Manila
Sakit akong lawas,NCR,Metro Manila
I'm working in the office,VI,Negros Occidental
Nagbabasa ako ng libro,XII,Sultan Kudarat
Nawalan ko gana,IVB,Romblon
Hilantan ko,IVA,Quezon
Nagtan-aw ko ug sine,BARMM,Sulu
Namamasyal ako sa mall,BARMM,Lanao del Sur
Nagbabasa ako ng libro,X,Camiguin
Nawalan ko gana,CAR,Kalinga
Naluya ko,XIII,Dinagat Islands
I have anemia,I,La Union
Nawalan ko gana,CAR,Abra
I'm running a fever,BARMM,Maguindanao del Norte
I'm walking in the park,X,Bukidnon
Nagkapulmonya ko,VIII,Leyte
Nagluto ko ug sud-an,III,Bulacan
Nilalagnat ako,VI,Negros Occidental
May lagnat ako,III,Aurora
Nanghihina ako,XII,South Cotabato
I have a fever,IX,Zamboanga del Norte
May pneumonia ako,CAR,Apayao
Naglalaro ako ng basketball,XIII,Surigao del Sur
Sakit akong tutunlan,NCR,Metro Manila
Hilantan ko,X,Misamis Occidental
I have anemia,IVB,Oriental Mindoro
Hilantan ko,IVB,Marinduque
Lisod paginhawa,XIII,Agusan del Sur
Nilalagnat ako,IX,Zamboanga del Sur
Anemia ko,X,Misamis Oriental
Lisod paginhawa,IVB,Marinduque
Nagjogging ko sa buntag,IVB,Occidental Mindoro
May lagnat ako,X,Misamis Occidental
Nagkapulmonya ko,VI,Negros Occidental
Naglalakad ako sa park,I,Pangasinan
Nagubo ko,IVA,Laguna
Nagduwa ko ug basketball,BARMM,Maguindanao del Norte
Hirap akong huminga,CAR,Abra
Wala akong gana,II,Quirino
Naa koy hilanat,XI,Davao del Norte
Nagtatanim ako ng bulaklak,VIII,Leyte
Nagtan-aw ko ug sine,IVA,Quezon
My body aches,CAR,Benguet
Nagtan-aw ko ug sine,X,Bukidnon
Nanghihina ako,IVB,Romblon
Naa koy hilanat,IX,Zamboanga del Sur
Anemia ko,V,Catanduanes
Naglalakad ako sa park,XI,Davao de Oro
Naa koy hilanat,I,La Union
I have anemia,BARMM,Basilan
Naluya ko,VIII,Southern Leyte
Nagtanom ko ug bulak,IVA,Laguna
May anemia ako,III,Zambales
May ubo ako,IVA,Rizal
May lagnat ako,V,Sorsogon
Nilalagnat ako,VII,Bohol
Hirap akong huminga,CAR,Benguet
Sakit akong lawas,XII,Cotabato
Wala akong gana,V,Sorsogon
Naglalaro ako ng basketball,IX,Zamboanga del Sur
Hirap akong huminga,CAR,Abra
Lisod paginhawa,III,Pampanga
Nagduwa ko ug basketball,XIII,Dinagat Islands
Naluya ko,BARMM,Maguindanao del Sur
Masakit ang lalamunan ko,XIII,Dinagat Islands
Nagtrabo ko sa opisina,CAR,Ifugao
Nagduwa ko ug basketball,XIII,Agusan del Norte
Hirap akong huminga,III,Tarlac
Naglilinis ako ng bahay,VIII,Southern Leyte
Namamasyal ako sa mall,IVB,Marinduque
I'm jogging in the morning,CAR,Benguet
Nanood ako ng sine,V,Catanduanes
Nanglimpyo ko sa balay,V,Masbate
Sakit akong tutunlan,V,Catanduanes
May pneumonia ako,VIII,Samar
Nanglimpyo ko sa balay,IX,Zamboanga Sibugay
Nagduwa ko ug basketball,VII,Bohol
May anemia ako,IX,Zamboanga Sibugay
Nawalan ko gana,II,Quirino
Nagbabasa ako ng libro,BARMM,Maguindanao del Sur
Anemia ko,III,Nueva Ecija
Sakit akong lawas,CAR,Abra
Masakit ang lalamunan ko,IVA,Cavite
May pneumonia ako,VI,Antique
Naglilinis ako ng bahay,X,Lanao del Norte
Nagtan-aw ko ug sine,XII,Sultan Kudarat
May anemia ako,I,La Union
Nagtan-aw ko ug sine,VIII,Leyte
Naglaag ko sa mall,IX,Zamboanga Sibugay
Sakit akong lawas,CAR,Ifugao
Hilantan ko,VI,Capiz
Masakit ang katawan ko,V,Albay
Hirap akong huminga,VII,Negros Oriental
Anemia ko,VI,Iloilo
Sakit akong tutunlan,VII,Negros Oriental
Naglilinis ako ng bahay,VI,Capiz
Hilantan ko,X,Camiguin
Naglaag ko sa mall,IVA,Batangas
Nanood ako ng sine,I,Ilocos Norte
Nagluluto ako ng ulam,IX,Zamboanga Sibugay
Masakit ang lalamunan ko,V,Camarines Norte
Wala akong gana,IVB,Romblon
Naa koy hilanat,VI,Capiz
Anemia ko,VII,Negros Oriental
Nagjogging ko sa buntag,IVA,Quezon
I'm running a fever,VIII,Southern Leyte
I have anemia,VI,Capiz
Hirap akong huminga,III,Pampanga
Nanghihina ako,IVA,Rizal
Nanghihina ako,VI,Negros Occidental
May pneumonia ako,I,Ilocos Norte
Nanghihina ako,VII,Bohol
Wala akong gana,X,Misamis Oriental
Naa koy hilanat,IVA,Laguna
Nagtatrabaho ako sa opisina,VI,Aklan
Nanghihina ako,IVB,Palawan
Nagjogging ko sa buntag,II,Cagayan
Anemia ko,VII,Siquijor
Hilantan ko,CAR,Benguet
I'm running a fever,X,Bukidnon
Wala akong gana,VII,Negros Oriental
Nawalan ko gana,VIII,Southern Leyte
Nagubo ko,CAR,Mountain Province
Nagbasa ko ug libro,BARMM,Maguindanao del Norte
Anemia ko,VII,Bohol
May pneumonia ako,CAR,Apayao
Sakit akong tutunlan,CAR,Benguet
Nanood ako ng sine,X,Camiguin
Nawalan ko gana,VII,Negros Oriental
Sakit akong tutunlan,VI,Negros Occidental
Nagjo-jogging ako sa umaga,CAR,Apayao
Nagubo ko,X,Camiguin
I'm hanging out at the mall,V,Catanduanes
May lagnat ako,BARMM,Tawi-tawi
My throat hurts,III,Zambales
My body aches,XII,Sultan Kudarat
Hilantan ko,IVA,Cavite
Naglilinis ako ng bahay,CAR,Mountain Province
Nagduwa ko ug basketball,III,Tarlac
Nagbabasa ako ng libro,III,Zambales
Namamasyal ako sa mall,X,Bukidnon
Nagubo ko,XII,Sultan Kudarat
Nanglimpyo ko sa balay,VII,Cebu
May anemia ako,V,Albay
Naglalaro ako ng basketball,IVA,Batangas
Masakit ang lalamunan ko,BARMM,Maguindanao del Norte
Nagubo ko,X,Camiguin
I have no appetite,VI,Capiz
Sakit akong tutunlan,VIII,Leyte
Nagluto ko ug sud-an,I,Ilocos Sur
Masakit ang katawan ko,IVA,Quezon
Nagtrabo ko sa opisina,VII,Siquijor
I feel weak,XIII,Agusan del Sur
Nagkapulmonya ko,III,Aurora
Nagkapulmonya ko,X,Camiguin
Nagluto ko ug sud-an,I,La Union
Nagluluto ako ng ulam,IX,Zamboanga Sibugay
Anemia ko,VIII,Eastern Samar
Nanghihina ako,BARMM,Lanao del Sur
Masakit ang lalamunan ko,III,Bataan
Hirap akong huminga,CAR,Ifugao
Naglakaw-lakaw ko sa park,II,Nueva Vizcaya
Nagbabasa ako ng libro,X,Bukidnon
Anemia ko,V,Albay
Sakit akong tutunlan,I,La Union
Nagubo ko,IVB,Oriental Mindoro
Naglalaro ako ng basketball,XII,South Cotabato
Nagjo-jogging ako sa umaga,IX,Zamboanga del Sur
Sakit akong lawas,X,Misamis Occidental
Namamasyal ako sa mall,CAR,Ifugao
Naluya ko,XI,Davao de Oro
Sakit akong tutunlan,CAR,Abra
Masakit ang katawan ko,XII,South Cotabato
May lagnat ako,VI,Iloilo
Nagbasa ko ug libro,IVB,Marinduque
Naa koy hilanat,IVB,Oriental Mindoro
Nagduwa ko ug basketball,X,Misamis Occidental
Nilalagnat ako,BARMM,Tawi-tawi
Sakit akong tutunlan,XI,Davao Occidental
Hilantan ko,IX,Zamboanga del Sur
Nilalagnat ako,XI,Davao Oriental
Hilantan ko,IVA,Cavite
Naglilinis ako ng bahay,III,Bataan
Hirap akong huminga,II,Batanes
I feel weak,VI,Guimaras
I'm cooking a meal,VII,Negros Oriental
I have a cough,VII,Bohol
I'm walking in the park,I,La Union
I'm having trouble breathing,NCR,Metro Manila
May pneumonia ako,VIII,Biliran
May ubo ako,VIII,Biliran
Masakit ang katawan ko,IVB,Occidental Mindoro
Nagbabasa ako ng libro,XI,Davao del Norte
Lisod paginhawa,BARMM,Maguindanao del Norte
Masakit ang lalamunan ko,VI,Aklan
Naluya ko,CAR,Abra
I have a cough,XI,Davao del Norte
Naluya ko,CAR,Apayao
Sakit akong tutunlan,IVA,Rizal
Nagubo ko,III,Aurora
Nilalagnat ako,XIII,Agusan del Sur
Nagbabasa ako ng libro,I,Ilocos Sur
Nagtanom ko ug bulak,IX,Zamboanga del Norte
Nanglimpyo ko sa balay,X,Lanao del Norte
I have pneumonia,BARMM,Tawi-tawi
Naglaag ko sa mall,VII,Bohol
Naluya ko,VII,Negros Oriental
I have pneumonia,CAR,Abra
Sakit akong lawas,IVB,Oriental Mindoro
Lisod paginhawa,BARMM,Maguindanao del Norte
Masakit ang lalamunan ko,VII,Cebu
May anemia ako,IX,Zamboanga del Sur
Anemia ko,IVB,Romblon
Nawalan ko gana,IVA,Cavite
Naluya ko,X,Bukidnon
Nilalagnat ako,VI,Capiz
Nagkapulmonya ko,NCR,Metro Manila
Naglalaro ako ng basketball,VI,Negros Occidental
Nagjo-jogging ako sa umaga,XIII,Agusan del Norte
Nawalan ko gana,IVA,Laguna
Naa koy hilanat,XIII,Agusan del Norte
Hilantan ko,XI,Davao Occidental
Lisod paginhawa,XII,South Cotabato
Nagjogging ko sa buntag,II,Batanes
Nanood ako ng sine,VIII,Eastern Samar
Nanghihina ako,I,Ilocos Sur
I'm walking in the park,CAR,Mountain Province
Nagtrabo ko sa opisina,VIII,Biliran
Naluya ko,X,Camiguin
Nagjo-jogging ako sa umaga,I,Pangasinan
Sakit akong lawas,IVB,Oriental Mindoro
I have a cough,X,Bukidnon
Naglaag ko sa mall,VIII,Biliran
Wala akong gana,BARMM,Maguindanao del Sur
Naa koy hilanat,IVA,Laguna
Nagtan-aw ko ug sine,VI,Aklan
Sakit akong tutunlan,V,Masbate
May lagnat ako,IVA,Laguna
Masakit ang katawan ko,IX,Zamboanga del Sur
Lisod paginhawa,VI,Negros Occidental
May pneumonia ako,BARMM,Sulu
Naglilinis ako ng bahay,BARMM,Basilan
Masakit ang lalamunan ko,I,La Union
May pneumonia ako,V,Masbate
Nagkapulmonya ko,VII,Cebu
Masakit ang katawan ko,V,Camarines Norte
Naglalaro ako ng basketball,BARMM,Maguindanao del Norte
May lagnat ako,IVA,Quezon
May pneumonia ako,XI,Davao del Norte
Nanghihina ako,VIII,Southern Leyte
May ubo ako,III,Nueva Ecija
Namamasyal ako sa mall,VI,Aklan
Nagtatrabaho ako sa opisina,VII,Bohol
Wala akong gana,VII,Negros Oriental
Lisod paginhawa,XIII,Surigao del Norte
Hilantan ko,IVA,Laguna
May lagnat ako,XIII,Dinagat Islands
Nagtanom ko ug bulak,CAR,Kalinga
Naglalakad ako sa park,V,Camarines Norte
Wala akong gana,IVB,Oriental Mindoro
I'm having trouble breathing,IX,Zamboanga del Sur
Nagkapulmonya ko,VI,Iloilo
Nawalan ko gana,XII,South Cotabato
Nagkapulmonya ko,II,Cagayan
Sakit akong tutunlan,NCR,Metro Manila
Sakit akong tutunlan,BARMM,Lanao del Sur
Naluya ko,II,Quirino
Naglaag ko sa mall,VII,Cebu
Wala akong gana,IVB,Occidental Mindoro
Nanghihina ako,CAR,Abra
Nagjogging ko sa buntag,XIII,Agusan del Norte
Nawalan ko gana,II,Nueva Vizcaya
Naglalakad ako sa park,IVA,Rizal
Nilalagnat ako,CAR,Abra
Masakit ang lalamunan ko,VIII,Southern Leyte
Sakit akong lawas,XIII,Surigao del Sur
Sakit akong lawas,XII,Sultan Kudarat
Naluya ko,XIII,Surigao del Sur
My throat hurts,BARMM,Sulu
Naglalakad ako sa park,IVB,Palawan
Wala akong gana,I,Pangasinan
Nagtatanim ako ng bulaklak,I,Ilocos Norte
Naa koy hilanat,III,Bulacan
Nagkapulmonya ko,X,Misamis Oriental
I'm running a fever,III,Aurora
May ubo ako,VII,Negros Oriental
Nilalagnat ako,II,Cagayan
Hilantan ko,IVB,Romblon
Nagluto ko ug sud-an,VII,Cebu
Anemia ko,IVB,Marinduque
I'm watching a movie,II,Isabela
May ubo ako,VI,Capiz
Naglakaw-lakaw ko sa park,CAR,Kalinga
My throat hurts,IVA,Laguna
I'm reading a book,XII,South Cotabato
May anemia ako,I,Ilocos Norte
Nagubo ko,X,Lanao del Norte
Anemia ko,X,Lanao del Norte
Nagkapulmonya ko,VI,Capiz
Naglaag ko sa mall,II,Nueva Vizcaya
Nagtatanim ako ng bulaklak,IVB,Marinduque
Nawalan ko gana,BARMM,Maguindanao del Sur
My throat hurts,XII,Sultan Kudarat
Sakit akong lawas,VII,Siquijor
Nagubo ko,CAR,Benguet
Naa koy hilanat,III,Aurora
Sakit akong tutunlan,V,Camarines Sur
Nilalagnat ako,XIII,Surigao del Sur
Nagkapulmonya ko,VI,Capiz
Nawalan ko gana,VI,Antique
I have a fever,XII,Sarangani
I'm watching a movie,VI,Aklan
Naluya ko,XII,Cotabato
Hilantan ko,I,Ilocos Sur
May anemia ako,I,Pangasinan
I'm cooking a meal,VI,Negros Occidental
Sakit akong lawas,III,Zambales
Nagkapulmonya ko,VI,Capiz
Naa koy hilanat,V,Sorsogon
Namamasyal ako sa mall,IVA,Cavite
Nagtatrabaho ako sa opisina,V,Masbate
Masakit ang katawan ko,V,Masbate
Lisod paginhawa,VII,Bohol
Masakit ang katawan ko,III,Pampanga
Nagbasa ko ug libro,XI,Davao Oriental
Nagtanom ko ug bulak,VIII,Northern Samar
Nagjo-jogging ako sa umaga,IVB,Romblon
Sakit akong lawas,X,Camiguin
Naglaag ko sa mall,II,Cagayan
Hirap akong huminga,III,Nueva Ecija
Nagluto ko ug sud-an,CAR,Mountain Province
May lagnat ako,IX,Zamboanga Sibugay
Naglalaro ako ng basketball,BARMM,Lanao del Sur
Nagjogging ko sa buntag,XIII,Agusan del Sur
Hirap akong huminga,IVA,Cavite
Wala akong gana,V,Sorsogon
Nawalan ko gana,II,Batanes
Masakit ang lalamunan ko,XII,Cotabato
Nanghihina ako,VIII,Samar
Naa koy hilanat,XII,Sarangani
Nanghihina ako,IVA,Quezon
Nawalan ko gana,I,La Union
Nilalagnat ako,IVB,Romblon
Nagubo ko,V,Masbate
Lisod paginhawa,X,Lanao del Norte
Nagkapulmonya ko,XII,Sultan Kudarat
Naluya ko,VII,Bohol
May ubo ako,I,La Union
Nawalan ko gana,V,Sorsogon
Namamasyal ako sa mall,VI,Guimaras
Naglalaro ako ng basketball,VII,Cebu
Masakit ang lalamunan ko,X,Misamis Occidental
Nawalan ko gana,III,Bulacan
Nagtatrabaho ako sa opisina,BARMM,Maguindanao del Norte
I feel weak,I,Pangasinan
Anemia ko,X,Misamis Occidental
Hilantan ko,I,La Union
Nawalan ko gana,VIII,Leyte
Naglaag ko sa mall,XIII,Agusan del Sur
Masakit ang lalamunan ko,IVB,Palawan
Hirap akong huminga,VIII,Samar
Lisod paginhawa,V,Catanduanes
Nilalagnat ako,III,Pampanga
Naluya ko,III,Aurora
I'm having trouble breathing,IX,Zamboanga del Sur
Nanglimpyo ko sa balay,CAR,Mountain Province
Hilantan ko,XI,Davao del Norte
I'm cleaning the house,XI,Davao de Oro
Nagluto ko ug sud-an,IVB,Romblon
Nagtrabo ko sa opisina,BARMM,Maguindanao del Norte
May ubo ako,II,Nueva Vizcaya
May pneumonia ako,IVA,Quezon
Naa koy hilanat,XII,South Cotabato
Naglalaro ako ng basketball,XII,South Cotabato
Naglaag ko sa mall,IVB,Marinduque
Nagjo-jogging ako sa umaga,III,Aurora
May lagnat ako,III,Bataan
Sakit akong tutunlan,XII,South Cotabato
Nagubo ko,XII,Sultan Kudarat
Nanglimpyo ko sa balay,V,Catanduanes
Nagkapulmonya ko,X,Lanao del Norte
Sakit akong tutunlan,IX,Zamboanga Sibugay
Nagtatanim ako ng bulaklak,VII,Bohol
Sakit akong lawas,VII,Cebu
Nagkapulmonya ko,II,Batanes
May lagnat ako,VII,Cebu
Nagtanom ko ug bulak,III,Zambales
Lisod paginhawa,XI,Davao del Norte
Nanood ako ng sine,VIII,Samar
Lisod paginhawa,NCR,Metro Manila
Nanghihina ako,XI,Davao de Oro
Nanood ako ng sine,VIII,Eastern Samar
Sakit akong lawas,IVA,Batangas
May ubo ako,X,Lanao del Norte
Nawalan ko gana,IX,Zamboanga del Sur
Hilantan ko,IVA,Cavite
Namamasyal ako sa mall,VI,Iloilo
May lagnat ako,CAR,Abra
My body aches,CAR,Kalinga
Naluya ko,XIII,Surigao del Sur
Masakit ang katawan ko,XIII,Dinagat Islands
Naglaag ko sa mall,VI,Aklan
Nagjogging ko sa buntag,NCR,Metro Manila
Nagtanom ko ug bulak,V,Camarines Sur
Nawalan ko gana,X,Camiguin
May lagnat ako,V,Albay
Nagbasa ko ug libro,III,Nueva Ecija
Nagtanom ko ug bulak,IVA,Rizal
Sakit akong tutunlan,IX,Zamboanga del Sur
Nagduwa ko ug basketball,V,Catanduanes
May anemia ako,XII,Sultan Kudarat
Sakit akong lawas,XIII,Agusan del Sur
Nagduwa ko ug basketball,I,Ilocos Norte
Hilantan ko,V,Masbate
Nagluto ko ug sud-an,XII,South Cotabato
Naa koy hilanat,X,Bukidnon
Wala akong gana,IVA,Cavite
Nanglimpyo ko sa balay,V,Masbate
Naglakaw-lakaw ko sa park,VIII,Leyte
May anemia ako,NCR,Metro Manila
Naa koy hilanat,VI,Iloilo
Nagtan-aw ko ug sine,XIII,Surigao del Sur
May anemia ako,XI,Davao Oriental
Nagtan-aw ko ug sine,NCR,Metro Manila
Lisod paginhawa,XI,Davao Oriental
May ubo ako,II,Isabela
Nagtatanim ako ng bulaklak,I,La Union
Naluya ko,II,Isabela
Masakit ang lalamunan ko,I,La Union
Anemia ko,V,Catanduanes
Anemia ko,VI,Iloilo
Masakit ang katawan ko,III,Tarlac
Nanghihina ako,BARMM,Lanao del Sur
I have no appetite,VIII,Northern Samar
May pneumonia ako,VIII,Southern Leyte
May anemia ako,II,Isabela
Naa koy hilanat,XIII,Surigao del Norte
May lagnat ako,II,Nueva Vizcaya
Naglakaw-lakaw ko sa park,CAR,Apayao
Nagkapulmonya ko,VIII,Leyte
Nagbasa ko ug libro,V,Camarines Sur
Nawalan ko gana,III,Bataan
Nagubo ko,II,Cagayan
Masakit ang katawan ko,V,Camarines Sur
Hilantan ko,BARMM,Lanao del Sur
Nagtrabo ko sa opisina,II,Batanes
Naglakaw-lakaw ko sa park,X,Misamis Oriental
May pneumonia ako,IVA,Cavite
Sakit akong lawas,X,Misamis Occidental
I have no appetite,BARMM,Sulu
I'm having trouble breathing,IVA,Batangas
Naluya ko,BARMM,Maguindanao del Norte
Nagtatrabaho ako sa opisina,XII,Cotabato
Nanglimpyo ko sa balay,VI,Capiz
May anemia ako,IVA,Quezon
May anemia ako,III,Tarlac
May anemia ako,CAR,Mountain Province
Nilalagnat ako,I,Pangasinan
Hirap akong huminga,XI,Davao de Oro
Nagluluto ako ng ulam,II,Batanes
Nagubo ko,X,Bukidnon
Hilantan ko,XII,South Cotabato
Nagduwa ko ug basketball,IVA,Rizal
My body aches,I,Ilocos Norte
Hirap akong huminga,CAR,Apayao
Sakit akong lawas,VIII,Southern Leyte
Anemia ko,V,Sorsogon
I have a cough,VI,Iloilo
pagaw pagkakapoy dulaw ag plema,II,Quirino
plema nga naay dugo mara ug ubo tulo ka semana ga ubo gago,VII,Negros Oriental
way gana mo kaon kulian sa pag ginhawa naay dugo sa kughal or plima atay,XI,Davao de Oro
walay panlami naay dugo sa kughal or plima atay,IX,Zamboanga del Sur
sakit sa ulo gikapoy,II,Quirino
walay gana mo kaon,III,Zambales
sakit ang kalawasan suol sa dughan kon moginhawa gago,IVB,Palawan
sakit sa hiniusang halos dili ka ginhawa nagkahuyang gago,IVA,Laguna
naghubak nga adunay dugo way gana mo kaon,X,Bukidnon
gikapoy pamaol sa kalawasan atay,IVB,Palawan
nawa ang pang simhot init ang pamati/ hilanat yawa,VI,Capiz
init ang pamati naniwang atay,XII,Sultan Kudarat
nagkalisud ug ginhawa,BARMM,Maguindanao del Norte
way gana mo kaon pagaw sakit ug dughan pag ubo,III,Bulacan
murag mo suka halos dili ka ginhawa laryngotracheitis (medical) gago,II,Nueva Vizcaya
pula ug mata ubo nga naay dulaw ug berde plema,IVB,Palawan
init ang pamati/ hilanat sakit ug dughan pag ubo kalisud ginhawa,XII,Sarangani
naghubak nga adunay dugo baradong ilong presyur sa nawong gago,IVB,Romblon
sakit ug nawong,II,Cagayan
plemang may dugo kapin sa tulo ka semana nga ubo gago,VIII,Eastern Samar
way gana mo kaon pantal-pantal/ namula ug panit hubak na walay plema atay,I,Ilocos Norte
hilanat sakit ang kalawasan sakit ang tutunlan gago,VI,Aklan
gi- sip on,X,Lanao del Norte
kuli sa pag ginhawa,CAR,Benguet
panguyog,XIII,Surigao del Sur
paspas ug mabaw ug pagginhawa,VII,Cebu
murag mo suka walay panlami,V,Masbate
walay gana stridor (medical) nagsuka na naay dugo,IX,Zamboanga del Norte
nag iban pang maho,CAR,Abra
naniwang nag positive sa COVID gikurog gago,VIII,Leyte
daghang plema cyanosis (medical term) atay,CAR,Mountain Province
naniwang murag mo suka sakit ang dughan yawa,III,Tarlac
naay dugo sa plema conjunctivitis (medical term),II,Batanes
nag positive sa COVID maluya kurog sa katugnaw gago,IVB,Palawan
mabaw ug pag ginhawa pagaw pagkaniwang yawa,IVA,Batangas
ning mubo ang timbang,BARMM,Sulu
gikulian pag ginhawa,CAR,Mountain Province
pagkaluya,X,Lanao del Norte
halos dili ko ka ginhawa sakit ang dughan atay,CAR,Apayao
sakit kaayo ug lawas,BARMM,Sulu
nangluya,VIII,Leyte
pangapoy,CAR,Ifugao
suol pag ginhawa hulot ug ilong baradong ilong atay,II,Isabela
sakit ang dughan sakit sa ulo conjunctivitis (medical term) yawa,IVB,Romblon
sakit sa ulo gikurog gi- sip on yawa,XI,Davao del Norte
nagsakit ang dughan,VI,Guimaras
kapoyun sakit sa ulo suol sa dughan atay,IVA,Rizal
giduas nagkalisud ug hinga sip on,XI,Davao Oriental
tulo ka semana ga ubo lasa,II,Batanes
nag puot na ilong,BARMM,Basilan
gadagaang sip on,IX,Zamboanga del Sur
nagsuka nga adunay dugo galuya walay gana mo kaon gago,V,Sorsogon
kuli sa pag ginhawa nawa ang pang simhot nagkalisud ug hinga,BARMM,Basilan
lasa,XIII,Agusan del Norte
suol sa dughan,BARMM,Tawi-tawi
laryngotracheitis (medical) ubo gikapoy atay,X,Camiguin
paspas ug mabaw ug pagginhawa way gana mo kaon tb,IVA,Laguna
pamaol sa kalawasan paspas pag hinga  dili klaro sinultihan,BARMM,Sulu
anosmia (medical term) ubo dala dugo yawa,VIII,Leyte
walay gana,V,Camarines Sur
